tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year
2024-1049,Auckland,Hard,32,I,2024-01-01,287,213631,5.0,,Marie Bouzkova,R,180.0,CZE,25.4,216153,,WC,Amanda Anisimova,R,180.0,USA,22.3,6-0 6-1,3,R16,52.0,0.0,0.0,37.0,30.0,23.0,6.0,7.0,2.0,2.0,1.0,3.0,36.0,24.0,11.0,3.0,6.0,4.0,9.0,36.0,1353.0,373.0,169.0,2024
2024-800,Brisbane,Hard,64,P,2024-01-01,273,206368,6.0,,Veronika Kudermetova,R,175.0,RUS,26.6,203533,,,Anna Karolina Schmiedlova,R,176.0,SVK,29.3,6-2 6-3,3,R32,74.0,12.0,2.0,44.0,30.0,26.0,9.0,8.0,0.0,0.0,1.0,2.0,47.0,28.0,19.0,7.0,9.0,3.0,7.0,16.0,2720.0,73.0,918.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,289,216016,,,Xiyu Wang,L,,CHN,22.7,216133,6.0,,Xin Yu Wang,R,182.0,CHN,22.2,6-3 3-6 7-6(2),3,R16,153.0,6.0,4.0,95.0,66.0,49.0,15.0,15.0,5.0,8.0,2.0,5.0,104.0,65.0,44.0,19.0,15.0,6.0,9.0,71.0,937.0,35.0,1383.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,290,201549,7.0,,Petra Martic,R,181.0,CRO,32.9,206294,,,Yue Yuan,R,184.0,CHN,25.2,6-2 6-2,3,R16,74.0,6.0,4.0,39.0,22.0,22.0,10.0,8.0,0.0,0.0,2.0,1.0,59.0,43.0,22.0,8.0,8.0,5.0,9.0,41.0,1264.0,77.0,903.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,291,215613,4.0,,Emma Navarro,R,,USA,22.6,220589,,,Elina Avanesyan,R,,ARM,21.2,6-1 6-2,3,R16,72.0,1.0,2.0,56.0,37.0,28.0,7.0,8.0,2.0,3.0,0.0,3.0,56.0,31.0,16.0,10.0,7.0,3.0,8.0,31.0,1480.0,74.0,917.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,292,219875,8.0,,Varvara Gracheva,R,,FRA,23.4,215138,,Q,Lulu Sun,L,,NZL,22.7,6-3 6-4,3,R16,79.0,4.0,1.0,58.0,35.0,30.0,14.0,10.0,2.0,2.0,5.0,4.0,64.0,31.0,22.0,16.0,9.0,7.0,9.0,42.0,1248.0,214.0,362.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,294,202494,2.0,,Elina Svitolina,R,174.0,UKR,29.3,213631,5.0,,Marie Bouzkova,R,180.0,CZE,25.4,6-0 6-3,3,QF,65.0,3.0,1.0,49.0,30.0,19.0,13.0,8.0,2.0,3.0,0.0,0.0,36.0,21.0,12.0,2.0,7.0,4.0,9.0,25.0,1809.0,36.0,1353.0,2024
2024-800,Brisbane,Hard,64,P,2024-01-01,274,259799,,,Mirra Andreeva,R,,RUS,16.6,214643,4.0,,Liudmila Samsonova,R,180.0,RUS,25.1,6-2 6-1,3,R32,65.0,2.0,3.0,44.0,27.0,21.0,10.0,7.0,2.0,2.0,4.0,7.0,49.0,21.0,15.0,7.0,8.0,2.0,7.0,58.0,1060.0,15.0,2760.0,2024
2024-800,Brisbane,Hard,64,P,2024-01-01,263,216146,,,Marta Kostyuk,R,175.0,UKR,21.5,202536,,,Ana Bogdan,R,171.0,ROU,31.0,4-6 6-3 6-3,3,R64,124.0,9.0,4.0,80.0,58.0,48.0,10.0,14.0,0.0,1.0,3.0,5.0,93.0,60.0,42.0,15.0,14.0,8.0,11.0,38.0,1316.0,66.0,956.0,2024
2024-800,Brisbane,Hard,64,P,2024-01-01,276,222328,,,Linda Noskova,R,,CZE,19.1,201514,10.0,,Sorana Cirstea,R,176.0,ROU,33.7,6-4 4-6 6-4,3,R32,141.0,8.0,4.0,130.0,83.0,55.0,25.0,15.0,11.0,13.0,10.0,1.0,100.0,67.0,43.0,20.0,15.0,5.0,8.0,40.0,1278.0,26.0,1800.0,2024
2024-9900,United Cup,Hard,18,I,2024-01-01,255,202499,,,Donna Vekic,R,179.0,CRO,27.5,201551,,,Arantxa Rus,L,180.0,NED,33.0,6-2 3-6 6-1,3,RR,112.0,5.0,6.0,70.0,49.0,38.0,9.0,12.0,3.0,5.0,2.0,4.0,70.0,48.0,30.0,9.0,12.0,1.0,6.0,24.0,1905.0,51.0,1149.0,2024
