player_id,overall_elo,grass_elo
216579,1483.69,1500.0
260848,1483.68,1500.0
215588,1483.61,1500.0
230870,1483.59,1500.0
223410,1483.55,1500.0
221096,1483.54,1500.0
221139,1483.5,1500.0
248660,1483.48,1500.0
214501,1483.36,1500.0
221855,1483.33,1500.0
202502,1483.32,1500.0
223130,1483.29,1500.0
204419,1483.27,1500.0
202685,1483.27,1500.0
210931,1483.27,1500.0
221980,1483.26,1500.0
221845,1483.26,1500.0
221831,1483.26,1500.0
221805,1483.26,1500.0
223140,1483.23,1500.0
215870,1483.23,1500.0
221804,1483.23,1500.0
215926,1483.21,1500.0
222980,1483.19,1500.0
221126,1483.17,1500.0
202581,1483.16,1500.0
222137,1483.16,1500.0
215684,1483.09,1500.0
215091,1482.9,1500.0
221086,1482.83,1500.0
211260,1482.76,1500.0
221332,1482.75,1500.0
211977,1482.74,1500.0
221077,1482.73,1500.0
209712,1482.71,1500.0
221173,1482.54,1500.0
223159,1482.52,1500.0
214247,1482.43,1464.45
214691,1482.32,1500.0
221164,1482.3,1500.0
222458,1482.29,1500.0
220845,1482.2,1500.0
203542,1482.17,1500.0
223132,1482.12,1500.0
211390,1482.07,1500.0
221395,1482.03,1500.0
213873,1482.02,1500.0
201582,1481.95,1500.0
260510,1481.74,1500.0
206107,1481.64,1500.0
211574,1481.58,1500.0
221102,1481.58,1500.0
260541,1481.53,1500.0
214653,1481.52,1500.0
214880,1481.41,1500.0
216151,1481.38,1500.0
202503,1481.31,1481.01
216179,1481.28,1500.0
215812,1481.25,1500.0
211019,1481.16,1500.0
223120,1481.13,1500.0
215480,1480.95,1474.91
214386,1480.91,1500.0
221985,1480.86,1500.0
238179,1480.35,1500.0
211881,1480.16,1500.0
206255,1480.1,1483.63
202497,1480.08,1500.0
220416,1480.07,1482.81
220572,1479.9,1500.0
220718,1479.56,1500.0
214679,1479.48,1500.0
211941,1479.41,1482.34
201648,1479.2,1480.86
220770,1478.44,1484.48
206374,1478.43,1420.41
246476,1478.42,1500.0
203297,1478.38,1518.14
220272,1478.38,1500.0
206408,1478.31,1497.05
201699,1478.03,1500.0
202484,1477.87,1500.0
216367,1477.73,1500.0
223671,1477.61,1500.0
211208,1477.34,1500.0
201565,1477.14,1485.69
223286,1477.08,1500.0
220680,1477.02,1500.0
214388,1476.97,1445.97
215111,1476.87,1500.0
205723,1476.86,1480.8
202425,1476.78,1475.35
206349,1476.73,1500.0
214461,1476.64,1459.82
206292,1476.47,1452.71
214540,1476.43,1500.0
211328,1476.07,1500.0
221099,1475.99,1500.0
215144,1475.72,1500.0
222290,1475.58,1500.0
210173,1475.46,1500.0
216044,1475.38,1500.0
201667,1475.34,1500.0
214191,1475.33,1500.0
201556,1475.33,1500.0
214453,1474.98,1500.0
202467,1474.94,1500.0
211216,1474.59,1500.0
220713,1474.52,1500.0
215259,1474.43,1501.0
236957,1474.24,1500.0
222396,1474.15,1500.0
221236,1474.09,1491.79
206335,1473.92,1500.0
214480,1473.59,1500.0
221092,1473.38,1500.0
202653,1473.16,1479.88
203236,1473.12,1500.0
211765,1472.6,1523.62
221883,1472.36,1500.0
202702,1472.27,1480.8
221257,1472.24,1500.0
206362,1472.24,1482.76
213821,1472.02,1500.0
232447,1471.98,1513.76
215064,1471.65,1500.0
215431,1471.59,1470.62
222601,1471.5,1481.65
215550,1471.45,1500.0
211337,1471.18,1412.81
201402,1471.12,1500.0
222513,1471.1,1500.0
220662,1471.08,1500.0
202414,1470.72,1502.5
221802,1470.61,1500.0
259753,1470.6,1500.0
213602,1470.35,1463.78
203513,1470.35,1500.0
220946,1470.11,1500.0
220339,1470.11,1500.0
205344,1469.96,1500.0
201311,1469.92,1500.0
220520,1469.88,1500.0
200067,1469.8,1500.0
214826,1469.78,1477.57
206424,1469.5,1500.0
202879,1469.47,1500.0
221848,1469.44,1500.0
220844,1469.41,1500.0
201646,1469.37,1500.0
221512,1469.25,1500.0
213908,1469.25,1454.06
201542,1469.1,1500.0
213706,1468.9,1500.0
220733,1468.84,1500.0
212232,1468.77,1500.0
217751,1468.74,1500.0
208567,1468.74,1500.0
202693,1468.74,1500.0
211246,1468.74,1500.0
221832,1468.74,1500.0
221783,1468.74,1500.0
221847,1468.7,1500.0
202707,1468.62,1500.0
201447,1468.61,1500.0
221977,1468.57,1500.0
223371,1468.35,1500.0
210174,1468.28,1500.0
223323,1468.19,1500.0
212278,1468.03,1500.0
210271,1467.88,1500.0
201618,1467.85,1500.0
263848,1467.8,1500.0
210738,1467.75,1500.0
214507,1467.66,1500.0
213576,1467.59,1500.0
211432,1467.59,1460.5
202478,1467.31,1476.27
263852,1467.02,1500.0
213779,1466.81,1500.0
201086,1466.63,1500.0
215395,1466.6,1500.0
215250,1466.57,1500.0
215581,1466.56,1500.0
220174,1466.44,1500.0
206075,1466.22,1500.0
214593,1466.11,1468.47
222507,1465.87,1500.0
214992,1465.81,1500.0
201505,1465.74,1510.27
211411,1465.26,1512.46
212045,1465.09,1500.0
213620,1464.99,1500.0
